id,stake,race,gender,education,income,zip_code,birth_year,prior_participation,communication_with_government,worked_in_planning,challenges_completed,replies,likes,neighborhood_cleanup,tune_up_neighborhood_bike_works,give_the_gift_of_art,improve_the_rec_center,the_woodlands_tree_fund,help_green_lea_elementary_school,books_through_bars,fresh_food_on_wheels,second_mile_thrift_store,west_philly_tool_library,,,,,,,
3319,Business Owner,White,Male,Master's Degree,"$50,000 - $75,000",19104,1955,Yes,"Yes, by letter",Yes,33%,0,12,360,100,,,,,,,,,,,,,,,
3466,,I prefer not to answer,I prefer not to answer,I prefer not to answer,I prefer not to answer,19104,1922,Yes,I prefer not to answer,I prefer not to answer,33%,0,3,300,,,,,,,,,,,,,,,,
2404,Works in University/Southwest,White,Female,Master's Degree,"over $100,000",19104,1974,Yes,"Yes, through personal meetings",Yes,33%,0,0,290,250,,,,,,,,,,,,,,,
2745,Lives in University/Southwest,I prefer not to answer,I prefer not to answer,Bachelor's Degree,"$50,000 - $75,000",19143,1987,No,No communication,No,33%,0,10,260,200,,,,,,,,,,,,,,,
3418,Lives in University/Southwest,White,Female,Professional Degree,"over $100,000",19143,1978,No,"Yes, by email",No,33%,0,4,240,,,,,,,,,,,,,,,,
2650,Observer,White,Female,Master's Degree,"$50,000 - $75,000",19127,1975,Yes,"Yes, by email",Yes,33%,0,8,220,,,,,,,,,,,,,,,,
3223,"Lives in University/Southwest, Student, Works in University/Southwest",White,Male,Master's Degree,"$25,000 - $50,000",19104,1988,Yes,"Yes, through personal meetings",No,33%,0,1,220,,,,,,,,,,,,,,,,
2367,"Lives in University/Southwest, Volunteer, Works in University/Southwest",I prefer not to answer,Female,Doctoral Degree,I prefer not to answer,19143,1949,No,"Yes, by letter",Yes,33%,0,2,220,,,,,,,,,,,,,,,,
2632,Observer,White,Male,Bachelor's Degree,"$25,000 - $50,000",19115,1988,Yes,"Yes, by email",Yes,33%,0,16,220,,,,,,,,,,,,,,,,
3097,,White,Female,Bachelor's Degree,"$75,000 - $100,000",19104,1974,No,"Yes, by email",No,33%,0,1,220,,,,,,,,,,,,,,,,
3017,Observer,White,Male,Master's Degree,"over $100,000",19406,1988,Yes,"Yes, by email",No,33%,0,2,220,,,,,,,,,,,,,,,,
2849,Student,White,Female,Bachelor's Degree,"$25,000 - $50,000",19146,1985,Yes,"Yes, through community meetings",Yes,33%,0,14,220,,,,,,,,,,,,,,,,
2868,,I prefer not to answer,I prefer not to answer,I prefer not to answer,I prefer not to answer,19143,1982,Yes,No communication,I prefer not to answer,33%,0,0,220,,,,,,,,,,,,,,,,
2787,"Lives in University/Southwest, Student, Works in University/Southwest",White,Female,Bachelor's Degree,"$50,000 - $75,000",19104,1992,I prefer not to answer,"Yes, by email",Yes,33%,0,6,220,,,,,,,,,,,,,,,,
2776,,White,Male,Master's Degree,"$50,000 - $75,000",19143,1980,Yes,"Yes, through personal meetings",Yes,33%,0,3,210,,,,,,,,,,,,,,,,
2786,Lives in University/Southwest,Multiracial,Female,Bachelor's Degree,"$50,000 - $75,000",19143,1969,No,"Yes, by email",No,33%,0,11,210,,,,,,,,,,,,,,,,
2393,,Multiracial,Female,I prefer not to answer,I prefer not to answer,19104,1990,Yes,I prefer not to answer,I prefer not to answer,33%,0,4,210,,,,,,,,,,,,,,,,
2771,,Multiracial,Female,Bachelor's Degree,"$50,000 - $75,000",19143,1957,Yes,"Yes, by email",Yes,33%,0,6,210,,,,,,,,,,,,,,,,
3274,Community Organizer or Activist,White,Female,Bachelor's Degree,"$50,000 - $75,000",19143,1984,Yes,"Yes, through community meetings",Yes,33%,0,3,210,,,,,,,,,,,,,,,,
2873,Lives in University/Southwest,White,Female,Master's Degree,"$25,000 - $50,000",19103,1985,No,No communication,Yes,33%,1,0,210,,,,,,,,,,,,,,,,
2729,Lives in University/Southwest,Asian,Female,Doctoral Degree,I prefer not to answer,19143,1969,No,No communication,No,33%,0,1,210,10,,,,,,,,,,,,,,,
3248,Lives in University/Southwest,Other,Male,Master's Degree,"$75,000 - $100,000",19143,1979,No,"Yes, through social media",Yes,33%,0,1,200,,,,,,,,,,,,,,,,
3586,Lives in University/Southwest,White,Male,Bachelor's Degree,"over $100,000",19104,1973,Yes,"Yes, through personal meetings",Yes,33%,0,12,200,180,180,,,,,,,,,,,,,,
3280,,White,Female,Doctoral Degree,I prefer not to answer,19104,1950,No,"Yes, by email",Yes,33%,0,0,200,,,,,,,,,,,,,,,,
2428,Lives in University/Southwest,White,Male,Master's Degree,I prefer not to answer,19143,1983,Yes,"Yes, by letter",Yes,33%,0,2,200,,,,,,,,,,,,,,,,
2615,Student,White,Female,Bachelor's Degree,"$50,000 - $75,000",19104,1989,No,No communication,No,33%,0,0,200,,,,,,,,,,,,,,,,
2774,,White,Female,Doctoral Degree,"over $100,000",19143,1975,No,"Yes, by email",Yes,33%,0,2,200,,,,,,,,,,,,,,,,
3648,Student,Black or African American,Male,High School or less,I prefer not to answer,19143,1997,Yes,No communication,I prefer not to answer,33%,0,2,190,190,190,,,,,,,,,,,,,,
3019,Lives in University/Southwest,White,Female,Bachelor's Degree,"over $100,000",19143,1971,Yes,"Yes, by email",Yes,33%,0,1,180,,,,,,,,,,,,,,,,
3219,Educator,White,Male,Master's Degree,"over $100,000",19118,1952,Yes,"Yes, by email",I prefer not to answer,33%,0,1,160,,,,,,,,,,,,,,,,
3390,Lives in University/Southwest,White,Male,Bachelor's Degree,"over $100,000",19143,1975,No,"Yes, by email",No,33%,0,6,150,150,160,,,,,,,,,,,,,,
2737,Lives in University/Southwest,White,Female,Master's Degree,I prefer not to answer,19143,1943,No,"Yes, by email",Yes,33%,0,2,130,,,,,,,,,,,,,,,,
2250,,White,Female,Bachelor's Degree,"$25,000 - $50,000",,1983,I prefer not to answer,No communication,I prefer not to answer,33%,0,0,125,25,50,,,,,,,,,,,,,,
2594,"Observer, Works in University/Southwest",White,Female,Master's Degree,"$75,000 - $100,000",19147,1979,Yes,"Yes, by email",Yes,33%,0,11,120,100,,,,,,,,,,,,,,,
3010,,White,Male,Professional Degree,"over $100,000",19104,1979,No,No communication,No,33%,0,0,120,120,120,,,,,,,,,,,,,,
2254,Lives in University/Southwest,Asian,Female,Master's Degree,"$25,000 - $50,000",19143,1986,Yes,"Yes, by email",I prefer not to answer,33%,0,12,110,100,,,,,,,,,,,,,,,
2392,Student,White,Female,Master's Degree,"$50,000 - $75,000",19104,1989,Yes,No communication,No,33%,0,5,105,105,,,,,,,,,,,,,,,
2712,,White,Male,Bachelor's Degree,"$75,000 - $100,000",19136,1978,Yes,"Yes, through community meetings",I prefer not to answer,33%,0,5,100,120,,,,,,,,,,,,,,,
3409,,White,Female,Bachelor's Degree,"over $100,000",19096,1956,No,I prefer not to answer,I prefer not to answer,33%,0,1,100,120,100,,,,,,,,,,,,,,
2816,,"Hispanic, Latino, or Spanish",Male,Doctoral Degree,"over $100,000",19104,1959,No,"Yes, by email",Yes,33%,0,12,100,,,,,,,,,,,,,,,,
2305,,White,Female,Master's Degree,"$50,000 - $75,000",19143,1977,Yes,No communication,No,33%,1,8,100,120,,,,,,,,,,,,,,,
2384,Lives in University/Southwest,Black or African American,Male,Master's Degree,"$50,000 - $75,000",,1989,I prefer not to answer,"Yes, through community meetings",I prefer not to answer,33%,0,0,85,125,,,,,,,,,,,,,,,
2691,,White,Female,High School or less,I prefer not to answer,19104,1992,No,No communication,No,33%,0,2,80,20,,,,,,,,,,,,,,,
2744,Community Organizer or Activist,White,Female,Master's Degree,"$75,000 - $100,000",19129,1980,Yes,"Yes, through community meetings",Yes,33%,0,8,75,20,75,50,,,,,,,,,,,,,
2968,Lives in University/Southwest,White,Male,Bachelor's Degree,"over $100,000",19143,1980,No,No communication,I prefer not to answer,33%,0,6,70,150,,,,,,,,,,,,,,,
3277,Lives in University/Southwest,White,Female,Master's Degree,"$25,000 - $50,000",19143,1940,Yes,"Yes, through community meetings",Yes,33%,0,1,60,70,150,,,,,,,,,,,,,,
2230,Observer,,,,,,1976,I prefer not to answer,"Yes, by email",I prefer not to answer,33%,0,14,60,,,,,,,,,,,,,,,,
3509,,White,Male,Master's Degree,"$25,000 - $50,000",19107,1985,Yes,"Yes, through social media",No,33%,0,6,60,200,200,,,,,,,,,,,,,,
2607,Student,White,Male,Bachelor's Degree,"$50,000 - $75,000",,1986,No,"Yes, by email",No,33%,0,9,60,40,60,,,,,,,,,,,,,,
3265,,White,Male,Master's Degree,"$75,000 - $100,000",19147,1974,No,"Yes, by email",No,33%,0,0,60,150,,,,,,,,,,,,,,,
2339,Lives in University/Southwest,White,Male,Bachelor's Degree,"$25,000 - $50,000",19139,1989,No,"Yes, by email",No,33%,0,11,60,200,,,,,,,,,,,,,,,
2398,Lives in University/Southwest,White,Female,Master's Degree,I prefer not to answer,19104,1987,Yes,"Yes, through personal meetings",No,33%,0,16,55,55,110,,,,,,,,,,,,,,
2448,,White,Female,Master's Degree,"over $100,000",19123,1975,Yes,No communication,Yes,33%,0,6,50,100,50,,,,,,,,,,,,,,
3665,Student,Black or African American,Male,High School or less,I prefer not to answer,19138,1997,No,No communication,No,33%,0,2,50,,,,,,,,,,,,,,,,
2593,Lives in University/Southwest,White,Female,Master's Degree,"$50,000 - $75,000",,1978,No,"Yes, by email",I prefer not to answer,33%,0,0,50,50,60,50,,,,,,,,,,,,,
3259,,White,Male,Doctoral Degree,I prefer not to answer,19143,1965,Yes,"Yes, by letter",Yes,33%,0,0,50,50,100,,,,,,,,,,,,,,
3515,,I prefer not to answer,Female,Master's Degree,"over $100,000",19130,1971,No,No communication,No,33%,0,6,40,40,100,100,60,,,,,,,,,,,,
3398,Business Owner,White,Female,Master's Degree,"$75,000 - $100,000",19143,1971,No,No communication,No,33%,0,6,40,40,40,80,20,20,,,,,,,,,,,
3651,,Asian,Female,I prefer not to answer,I prefer not to answer,19141,1996,I prefer not to answer,I prefer not to answer,I prefer not to answer,33%,0,0,38,,,,,,,,,,,,,,,,
2603,Observer,White,Male,Bachelor's Degree,"$75,000 - $100,000",19123,1979,Yes,"Yes, through personal meetings",Yes,33%,0,18,25,50,25,100,,,,,,,,,,,,,
2309,"Community Organizer or Activist, Lives in University/Southwest, Works in University/Southwest",White,Male,Bachelor's Degree,"$50,000 - $75,000",19104,1986,Yes,"Yes, by email",No,33%,0,0,20,20,40,100,30,,,,,,,,,,,,
3652,Student,Black or African American,Male,High School or less,I prefer not to answer,19141,1996,No,No communication,Yes,33%,0,2,20,1,,,,,,,,,,,,,,,
2355,Observer,White,Male,Bachelor's Degree,"$50,000 - $75,000",19145,1980,Yes,"Yes, by email",No,33%,0,6,10,100,100,,,,,,,,,,,,,,
3001,Student,I prefer not to answer,I prefer not to answer,I prefer not to answer,I prefer not to answer,19143,2000,I prefer not to answer,I prefer not to answer,I prefer not to answer,33%,0,0,1,1,1,137,,,,,,,,,,,,,
3578,Lives in University/Southwest,Black or African American,Female,Bachelor's Degree,I prefer not to answer,19143,1985,Yes,"Yes, through community meetings",Yes,33%,0,0,1,,,,,,,,,,,,,,,,
3649,,Black or African American,Male,High School or less,I prefer not to answer,19142,1998,I prefer not to answer,I prefer not to answer,I prefer not to answer,33%,0,1,1,,,,,,,,,,,,,,,,
3588,Lives in University/Southwest,White,Male,Master's Degree,"$50,000 - $75,000",19143,1973,Yes,Other,I prefer not to answer,33%,0,14,1,,,,,,,,,,,,,,,,
3630,Student,Black or African American,Male,High School or less,"$25,000 - $50,000",19143,1996,Yes,"Yes, by phone",No,33%,0,1,,,,,,,,,,,,,,,,,
3666,Lives in University/Southwest,"Hispanic, Latino, or Spanish",Male,High School or less,I prefer not to answer,19143,1997,Yes,I prefer not to answer,I prefer not to answer,33%,0,1,,,,,,,,,,,,,,,,,
3504,,White,Male,Bachelor's Degree,"$25,000 - $50,000",48912,1988,Yes,"Yes, by email",Yes,33%,0,14,,,,,,,,,,,,,,,,,
3668,Student,Black or African American,Male,High School or less,I prefer not to answer,19151,1996,No,No communication,No,33%,0,2,,,,,,,,,,,,,,,,,
3289,,White,Male,Bachelor's Degree,"$50,000 - $75,000",19104,1982,Yes,"Yes, through community meetings",Yes,33%,8,6,,,,,,,,,,,,,,,,,
3245,"Community Organizer or Activist, Educator, Lives in University/Southwest",White,Female,Bachelor's Degree,"$25,000 - $50,000",19104,1988,No,"Yes, by phone",Yes,33%,0,1,,,,,,,,,,,,,,,,,
3664,Student,Black or African American,Male,High School or less,I prefer not to answer,19151,1997,No,No communication,No,33%,0,1,,,,,,,,,,,,,,,,,
3221,"Lives in University/Southwest, Observer, Volunteer",White,Female,Bachelor's Degree,"$50,000 - $75,000",19139,1989,Yes,"Yes, through social media",Yes,33%,0,2,,,,,,,,,,,,,,,,,
2636,Lives in University/Southwest,White,Male,Bachelor's Degree,"$75,000 - $100,000",19143,1985,No,No communication,No,33%,0,12,,,,,,,,,,,,,,,,,
2226,Observer,,,,"$25,000 - $50,000",,,I prefer not to answer,,I prefer not to answer,33%,1,3,,,,,,,,,,,,,,,,,
2429,Observer,White,Female,Master's Degree,"$50,000 - $75,000",19147,1982,No,No communication,No,33%,0,0,,,,,,,,,,,,,,,,,
3655,Student,Black or African American,Male,High School or less,I prefer not to answer,19151,1996,I prefer not to answer,No communication,Yes,33%,1,0,,,,,,,,,,,,,,,,,
3662,Student,Black or African American,Male,Doctoral Degree,I prefer not to answer,90210,1901,I prefer not to answer,No communication,I prefer not to answer,33%,0,0,,,,,,,,,,,,,,,,,
2231,Observer,Asian,Female,Master's Degree,"$50,000 - $75,000",,1980,I prefer not to answer,"Yes, through personal meetings",I prefer not to answer,33%,0,2,,,,,,,,,,,,,,,,,
3650,,Black or African American,Male,High School or less,"over $100,000",19121,1998,Yes,"Yes, through personal meetings",No,33%,0,1,,,,,,,,,,,,,,,,,
3702,"Business Owner, Lives in University/Southwest, Volunteer, Works in University/Southwest","Hispanic, Latino, or Spanish",Male,Bachelor's Degree,"$75,000 - $100,000",19143,1970,Yes,No communication,No,31%,0,4,540,,,,,,,,,,,,,,,,
3604,,White,Female,Bachelor's Degree,"$25,000 - $50,000",19104,1988,Yes,"Yes, through community meetings",No,31%,0,3,400,70,,,,,,,,,,,,,,,
2378,Observer,White,Female,Master's Degree,"$50,000 - $75,000",19128,1974,Yes,"Yes, through personal meetings",Yes,31%,0,10,,,,,,,,,,,,,,,,,
2314,,,,,,,,I prefer not to answer,,I prefer not to answer,31%,0,4,,,,,,,,,,,,,,,,,
2804,Lives in University/Southwest,,,,,,,I prefer not to answer,,I prefer not to answer,31%,0,12,,,,,,,,,,,,,,,,,
2836,Lives in University/Southwest,White,Male,Bachelor's Degree,I prefer not to answer,19139,1976,Yes,"Yes, by phone",Yes,31%,0,9,,,,,,,,,,,,,,,,,
2879,Student,,,,,,,I prefer not to answer,,I prefer not to answer,29%,0,0,100,,,,,,,,,,,,,,,,
3654,Student,,,,,,,I prefer not to answer,,I prefer not to answer,29%,0,0,,,,,,,,,,,,,,,,,
3656,"Educator, Student",,,,,,,I prefer not to answer,,I prefer not to answer,29%,0,0,,,,,,,,,,,,,,,,,
3538,Lives in University/Southwest,Multiracial,Female,Some College,"$50,000 - $75,000",19143,1974,Yes,"Yes, by phone",Yes,29%,0,3,,,,,,,,,,,,,,,,,
3597,Lives in University/Southwest,White,Female,Bachelor's Degree,"$25,000 - $50,000",19146,1984,No,"Yes, by letter",No,29%,1,24,,,,,,,,,,,,,,,,,
3389,Lives in University/Southwest,White,Male,Bachelor's Degree,"over $100,000",19143,1975,No,"Yes, through personal meetings",Yes,29%,0,0,,,,,,,,,,,,,,,,,
2701,Lives in University/Southwest,"Hispanic, Latino, or Spanish",Female,Bachelor's Degree,"$75,000 - $100,000",19104,1971,Yes,"Yes, by email",No,29%,0,3,,,,,,,,,,,,,,,,,
2773,"Community Organizer or Activist, Lives in University/Southwest, Volunteer, Works in University/Southwest",White,Male,Bachelor's Degree,"$25,000 - $50,000",19104,1963,Yes,"Yes, through community meetings",Yes,29%,0,5,,,,,,,,,,,,,,,,,
2260,"Lives in University/Southwest, Works in University/Southwest",White,Female,Master's Degree,"over $100,000",19143,1973,No,No communication,Yes,29%,0,6,,,,,,,,,,,,,,,,,
2628,Lives in University/Southwest,White,Male,Bachelor's Degree,"$25,000 - $50,000",19104,2000,Yes,"Yes, by email",I prefer not to answer,29%,0,4,,,,,,,,,,,,,,,,,
2670,,White,Male,Master's Degree,"$75,000 - $100,000",19143,1983,Yes,No communication,Yes,29%,0,24,,,,,,,,,,,,,,,,,
2363,"Community Organizer or Activist, Lives in University/Southwest, Volunteer",White,Male,Master's Degree,"$50,000 - $75,000",19104,1981,Yes,I prefer not to answer,Yes,29%,0,28,,,,,,,,,,,,,,,,,
3549,Lives in University/Southwest,White,Male,Master's Degree,"over $100,000",19104,1973,Yes,"Yes, through community meetings",No,27%,0,9,540,,,,,,,,,,,,,,,,
3704,Lives in University/Southwest,Black or African American,Female,Professional Degree,"over $100,000",19104,1971,No,No communication,No,27%,0,3,1,299,120,,,,,,,,,,,,,,
3653,Student,,,,,,,I prefer not to answer,,I prefer not to answer,27%,0,1,,,,,,,,,,,,,,,,,
3691,Community Organizer or Activist,White,Male,Master's Degree,"over $100,000",8109,1985,No,"Yes, by email",I prefer not to answer,27%,0,0,,,,,,,,,,,,,,,,,
2972,"Community Organizer or Activist, Educator, Lives in University/Southwest",Multiracial,Female,Master's Degree,"$25,000 - $50,000",19143,1985,No,"Yes, by email",Yes,27%,0,8,,,,,,,,,,,,,,,,,
3342,,,,,,,,I prefer not to answer,,I prefer not to answer,27%,0,3,,,,,,,,,,,,,,,,,
3408,Lives in University/Southwest,White,Female,Master's Degree,"$50,000 - $75,000",19143,1976,No,"Yes, by email",Yes,27%,0,3,,,,,,,,,,,,,,,,,
3660,,,,,,,,I prefer not to answer,,I prefer not to answer,27%,0,0,,,,,,,,,,,,,,,,,
2920,Observer,White,Male,Bachelor's Degree,"$25,000 - $50,000",19147,2000,Yes,"Yes, through social media",Yes,25%,0,9,,,,,,,,,,,,,,,,,
3250,Works in University/Southwest,White,Female,Master's Degree,"$50,000 - $75,000",19147,1984,Yes,"Yes, through community meetings",No,25%,0,0,,,,,,,,,,,,,,,,,
3264,Observer,Other,Female,Doctoral Degree,"$75,000 - $100,000",19146,1964,No,No communication,I prefer not to answer,25%,0,0,,,,,,,,,,,,,,,,,
2659,Lives in University/Southwest,,,,,,,I prefer not to answer,,I prefer not to answer,25%,0,11,,,,,,,,,,,,,,,,,
3240,Lives in University/Southwest,White,Female,Master's Degree,"$75,000 - $100,000",19143,1981,Yes,"Yes, by email",Yes,25%,0,3,,,,,,,,,,,,,,,,,
2825,Student,White,Male,Bachelor's Degree,I prefer not to answer,19147,1986,Yes,"Yes, through social media",I prefer not to answer,25%,0,9,,,,,,,,,,,,,,,,,
3317,,,,,,,,I prefer not to answer,,I prefer not to answer,25%,0,11,,,,,,,,,,,,,,,,,
3659,,Black or African American,Male,High School or less,I prefer not to answer,1951,2000,Yes,No communication,Yes,23%,0,3,,,,,,,,,,,,,,,,,
3678,,,,,,,,I prefer not to answer,,I prefer not to answer,23%,0,0,,,,,,,,,,,,,,,,,
2621,,,,,,,,I prefer not to answer,,I prefer not to answer,23%,0,0,,,,,,,,,,,,,,,,,
2765,"Educator, Lives in University/Southwest",White,Female,Bachelor's Degree,"$75,000 - $100,000",19104,1975,No,"Yes, by email",Yes,21%,0,0,1,49,70,,,,,,,,,,,,,,
3629,,,,,,,,I prefer not to answer,,I prefer not to answer,21%,0,1,,,,,,,,,,,,,,,,,
3705,Observer,White,Female,Master's Degree,I prefer not to answer,19104,1979,No,No communication,No,21%,0,0,,,,,,,,,,,,,,,,,
2245,,White,Male,Bachelor's Degree,"$50,000 - $75,000",19147,1988,Yes,No communication,No,21%,0,0,,,,,,,,,,,,,,,,,
2947,,,,,,,,I prefer not to answer,,I prefer not to answer,19%,0,0,,,,,,,,,,,,,,,,,
3562,Observer,White,Female,Master's Degree,"$75,000 - $100,000",19103,1973,Yes,"Yes, through community meetings",No,19%,0,1,,,,,,,,,,,,,,,,,
3635,,,,,,,,I prefer not to answer,,I prefer not to answer,19%,0,1,,,,,,,,,,,,,,,,,
3380,Lives in University/Southwest,White,Male,Professional Degree,I prefer not to answer,19143,1976,No,I prefer not to answer,Yes,19%,0,1,,,,,,,,,,,,,,,,,
3701,Student,,,,,,,I prefer not to answer,,I prefer not to answer,17%,0,1,30,100,130,,,,,,,,,,,,,,
3696,,White,Male,Bachelor's Degree,"$75,000 - $100,000",19143,1980,Yes,"Yes, by phone",Yes,17%,0,0,,,,,,,,,,,,,,,,,
3489,Works in University/Southwest,I prefer not to answer,Male,Bachelor's Degree,I prefer not to answer,19104,1984,No,No communication,I prefer not to answer,17%,0,5,,,,,,,,,,,,,,,,,
3343,Lives in University/Southwest,,,,,,,I prefer not to answer,,I prefer not to answer,17%,0,4,,,,,,,,,,,,,,,,,
3525,Observer,White,Male,Bachelor's Degree,"over $100,000",19145,1977,Yes,"Yes, by email",Yes,17%,0,2,,,,,,,,,,,,,,,,,
3437,Student,,,,,,,I prefer not to answer,,I prefer not to answer,17%,0,0,,,,,,,,,,,,,,,,,
3430,"Educator, Lives in University/Southwest, Works in University/Southwest",White,Female,Bachelor's Degree,"$75,000 - $100,000",19139,1985,Yes,"Yes, by letter",Yes,17%,0,2,,,,,,,,,,,,,,,,,
3563,Lives in University/Southwest,,,,,,,I prefer not to answer,,I prefer not to answer,17%,0,6,,,,,,,,,,,,,,,,,
3328,,,,,,,,I prefer not to answer,,I prefer not to answer,17%,0,1,,,,,,,,,,,,,,,,,
3583,,Multiracial,Male,Bachelor's Degree,"$25,000 - $50,000",19104,1987,No,"Yes, through social media",Yes,17%,1,0,,,,,,,,,,,,,,,,,
3349,,Multiracial,Female,Some College,"$50,000 - $75,000",19104,1992,Yes,"Yes, by email",Yes,17%,0,0,,,,,,,,,,,,,,,,,
2949,Community Organizer or Activist,,,,,,,I prefer not to answer,,I prefer not to answer,17%,0,5,,,,,,,,,,,,,,,,,
3306,Lives in University/Southwest,White,Male,Bachelor's Degree,"$75,000 - $100,000",19143,1983,Yes,"Yes, through social media",No,17%,1,6,,,,,,,,,,,,,,,,,
3072,"Observer, Student",White,Female,Bachelor's Degree,"$50,000 - $75,000",70802,1985,Yes,"Yes, by email",No,15%,0,3,50,20,,,,,,,,,,,,,,,
2768,,,,,,,,I prefer not to answer,,I prefer not to answer,15%,0,2,,,,,,,,,,,,,,,,,
3670,,,,,,,,I prefer not to answer,,I prefer not to answer,12%,0,1,230,,,,,,,,,,,,,,,,
3698,Lives in University/Southwest,I prefer not to answer,Female,Doctoral Degree,I prefer not to answer,19104,1983,No,No communication,Yes,12%,0,1,210,,,,,,,,,,,,,,,,
3383,Lives in University/Southwest,White,Female,Master's Degree,"over $100,000",19104,1966,No,No communication,I prefer not to answer,12%,0,0,170,,,,,,,,,,,,,,,,
3599,"Community Organizer or Activist, Religious Leader",,,,,,,I prefer not to answer,,I prefer not to answer,12%,0,1,150,,,,,,,,,,,,,,,,
3594,Works in University/Southwest,Black or African American,Female,Doctoral Degree,"$50,000 - $75,000",19124,1981,No,No communication,No,12%,0,4,150,,,,,,,,,,,,,,,,
2717,Educator,,,,,,,I prefer not to answer,,I prefer not to answer,12%,0,0,,,,,,,,,,,,,,,,,
3639,,,,,,,,I prefer not to answer,,I prefer not to answer,12%,0,1,,,,,,,,,,,,,,,,,
2638,Observer,,,,,,,I prefer not to answer,,I prefer not to answer,12%,0,2,,,,,,,,,,,,,,,,,
2796,Community Organizer or Activist,,,,,,,I prefer not to answer,,I prefer not to answer,12%,0,4,,,,,,,,,,,,,,,,,
3661,Student,Black or African American,Male,High School or less,"$50,000 - $75,000",19143,1994,I prefer not to answer,No communication,I prefer not to answer,12%,0,1,,,,,,,,,,,,,,,,,
2784,"Lives in University/Southwest, Student, Works in University/Southwest",White,Male,Bachelor's Degree,"$50,000 - $75,000",19139,1989,No,"Yes, by email",No,12%,0,2,,,,,,,,,,,,,,,,,
2399,Student,White,Female,Bachelor's Degree,"$50,000 - $75,000",19102,1987,Yes,No communication,Yes,12%,0,0,,,,,,,,,,,,,,,,,
2767,Community Organizer or Activist,,,,,,,I prefer not to answer,,I prefer not to answer,12%,0,1,,,,,,,,,,,,,,,,,
3530,,,,,,,,I prefer not to answer,,I prefer not to answer,12%,0,2,,,,,,,,,,,,,,,,,
3337,Lives in University/Southwest,White,Female,Bachelor's Degree,"$25,000 - $50,000",19143,1988,No,"Yes, by email",No,12%,0,2,,,,,,,,,,,,,,,,,
3627,,,,,,,,I prefer not to answer,,I prefer not to answer,12%,0,3,,,,,,,,,,,,,,,,,
2769,Works in University/Southwest,,,,,,,I prefer not to answer,,I prefer not to answer,12%,0,10,,,,,,,,,,,,,,,,,
3269,Lives in University/Southwest,White,Female,Doctoral Degree,I prefer not to answer,19104,1960,Yes,"Yes, by email",Yes,12%,0,0,,,,,,,,,,,,,,,,,
3687,Lives in University/Southwest,,,,,,,I prefer not to answer,,I prefer not to answer,12%,0,0,,,,,,,,,,,,,,,,,
2781,Works in University/Southwest,White,Male,Some College,"$50,000 - $75,000",19139,1988,No,No communication,No,12%,0,4,,,,,,,,,,,,,,,,,
3680,,,,,,,,I prefer not to answer,,I prefer not to answer,12%,0,1,,,,,,,,,,,,,,,,,
3683,"Lives in University/Southwest, Observer, Student",,,,,,,I prefer not to answer,,I prefer not to answer,12%,0,0,,,,,,,,,,,,,,,,,
2253,,White,Male,Master's Degree,"$50,000 - $75,000",,1984,I prefer not to answer,"Yes, through community meetings",I prefer not to answer,12%,0,1,,,,,,,,,,,,,,,,,
3368,,,,,,,,I prefer not to answer,,I prefer not to answer,12%,0,1,,,,,,,,,,,,,,,,,
2824,Lives in University/Southwest,White,Female,Bachelor's Degree,"$50,000 - $75,000",19143,1983,Yes,"Yes, by email",I prefer not to answer,12%,0,7,,,,,,,,,,,,,,,,,
2876,,,,,,,,I prefer not to answer,,I prefer not to answer,10%,1,6,,,,,,,,,,,,,,,,,
3560,Observer,,,,,,,I prefer not to answer,,I prefer not to answer,10%,0,1,,,,,,,,,,,,,,,,,
2660,,White,Male,Master's Degree,I prefer not to answer,19104,1954,Yes,Other,Yes,10%,0,1,,,,,,,,,,,,,,,,,
3657,Student,Black or African American,Male,High School or less,"$50,000 - $75,000",19131,1995,No,No communication,Yes,10%,0,0,,,,,,,,,,,,,,,,,
2674,,White,Female,Bachelor's Degree,"$75,000 - $100,000",19130,1979,No,"Yes, by email",I prefer not to answer,10%,2,0,,,,,,,,,,,,,,,,,
3440,,,,,,,,I prefer not to answer,,I prefer not to answer,10%,0,0,,,,,,,,,,,,,,,,,
3715,Community Organizer or Activist,,,,,,,I prefer not to answer,,I prefer not to answer,10%,0,0,,,,,,,,,,,,,,,,,
3707,,,,,,,,I prefer not to answer,,I prefer not to answer,10%,0,0,,,,,,,,,,,,,,,,,
2750,Business Owner,White,Male,Some College,"$25,000 - $50,000",19143,1959,Yes,"Yes, by email",Yes,10%,0,2,,,,,,,,,,,,,,,,,
3606,,,,,,,,I prefer not to answer,,I prefer not to answer,8%,0,1,170,,,,,,,,,,,,,,,,
3513,Student,White,Male,Some College,"$25,000 - $50,000",19103,1991,No,"Yes, through personal meetings",No,8%,0,1,100,,,,,,,,,,,,,,,,
3458,Business Owner,,,,,,,I prefer not to answer,,I prefer not to answer,8%,0,1,,,,,,,,,,,,,,,,,
3685,,,,,,,,I prefer not to answer,,I prefer not to answer,8%,0,0,,,,,,,,,,,,,,,,,
3387,"Lives in University/Southwest, Student",White,Male,Master's Degree,"$50,000 - $75,000",19143,1989,No,"Yes, by letter",No,8%,0,0,,,,,,,,,,,,,,,,,
